timestamp_ph,timestamp_utc,latitude,longitude,B14,B15
2025-03-02 03:30:00,2025-03-01 19:30:00,14.77083,120.45537,292.2370205466799,289.2849674297917
2025-03-02 03:40:00,2025-03-01 19:40:00,14.77083,120.45537,292.2917478975431,289.40225176284525
2025-03-02 03:50:00,2025-03-01 19:50:00,14.77083,120.45537,292.2370205466799,289.3436225246153
2025-03-02 04:00:00,2025-03-01 20:00:00,14.77083,120.45537,292.0178303100253,289.0206914833998
2025-03-02 04:10:00,2025-03-01 20:10:00,14.77083,120.45537,285.8192400500729,281.29987757416865
2025-03-02 04:20:00,2025-03-01 20:20:00,14.77083,120.45537,291.2473947055891,288.22469783663246
2025-03-02 04:30:00,2025-03-01 20:30:00,14.77083,120.45537,290.38837237304807,286.58813681112997
2025-03-02 04:40:00,2025-03-01 20:40:00,14.77083,120.45537,287.7148587206201,282.9436529777633
2025-03-02 04:50:00,2025-03-01 20:50:00,14.77083,120.45537,285.50012468536045,280.2022545813072
2025-03-02 05:00:00,2025-03-01 21:00:00,14.77083,120.45537,291.5231340300249,288.40199889957546
2025-03-02 05:10:00,2025-03-01 21:10:00,14.77083,120.45537,276.15398356827484,269.838399773414
2025-03-02 05:20:00,2025-03-01 21:20:00,14.77083,120.45537,263.91780534402625,258.8208348762611
2025-03-02 05:30:00,2025-03-01 21:30:00,14.77083,120.45537,271.07215475690936,265.66165485454576
2025-03-02 05:40:00,2025-03-01 21:40:00,14.77083,120.45537,279.64981019783215,273.8632609869413
2025-03-02 05:50:00,2025-03-01 21:50:00,14.77083,120.45537,285.4420009409466,280.92465047597346
2025-03-02 06:00:00,2025-03-01 22:00:00,14.77083,120.45537,266.34117955605967,262.3904597291779
2025-03-02 06:10:00,2025-03-01 22:10:00,14.77083,120.45537,265.1019436088701,261.3140468394063
2025-03-02 06:20:00,2025-03-01 22:20:00,14.77083,120.45537,278.7250413931974,273.8632609869413
2025-03-02 06:30:00,2025-03-01 22:30:00,14.77083,120.45537,284.24364715525144,279.44387286836866
2025-03-02 06:40:00,2025-03-01 22:40:00,14.77083,120.45537,290.4439853423956,287.1856258556121
2025-03-02 06:50:00,2025-03-01 22:50:00,14.77083,120.45537,288.48114656008266,284.23112369627484
2025-03-02 07:00:00,2025-03-01 23:00:00,14.77083,120.45537,271.67218475290207,265.3390804197022
2025-03-02 07:10:00,2025-03-01 23:10:00,14.77083,120.45537,269.82684000526837,264.00248868909995
2025-03-02 07:20:00,2025-03-01 23:20:00,14.77083,120.45537,267.1116352912682,261.57491438754005
2025-03-02 07:30:00,2025-03-01 23:30:00,14.77083,120.45537,274.553530821351,268.556837813845
2025-03-02 07:40:00,2025-03-01 23:40:00,14.77083,120.45537,268.32429155930674,262.83260075599804
2025-03-02 07:50:00,2025-03-01 23:50:00,14.77083,120.45537,268.7364611156709,262.7590380000511
2025-03-02 08:00:00,2025-03-02 00:00:00,14.77083,120.45537,276.24920667185586,270.52499993846544
2025-03-02 08:10:00,2025-03-02 00:10:00,14.77083,120.45537,268.7364611156709,262.6854287474342
2025-03-02 08:20:00,2025-03-02 00:20:00,14.77083,120.45537,270.2325095843158,264.07517192372507
2025-03-02 08:30:00,2025-03-02 00:30:00,14.77083,120.45537,273.97100841805354,268.3126887200048
2025-03-02 08:40:00,2025-03-02 00:40:00,14.77083,120.45537,283.7428661862283,278.6807273229033
2025-03-02 08:50:00,2025-03-02 00:50:00,14.77083,120.45537,274.035905447367,267.5066051444313
2025-03-02 09:00:00,2025-03-02 01:00:00,14.77083,120.45537,281.65589325170833,275.57847685684436
2025-03-02 09:10:00,2025-03-02 01:10:00,14.77083,120.45537,270.80427127802994,264.4016327942007
2025-03-02 09:20:00,2025-03-02 01:20:00,14.77083,120.45537,261.3527753118669,256.4203732850519
2025-03-02 09:30:00,2025-03-02 01:30:00,14.77083,120.45537,273.6133275822906,267.6823500012663
2025-03-02 09:40:00,2025-03-02 01:40:00,14.77083,120.45537,280.9005122232963,275.48020534390884
2025-03-02 09:50:00,2025-03-02 01:50:00,14.77083,120.45537,292.2096433373316,288.8147819893965
2025-03-02 10:00:00,2025-03-02 02:00:00,14.77083,120.45537,292.182251899578,288.96189351654016
2025-03-02 10:10:00,2025-03-02 02:10:00,14.77083,120.45537,288.5094287675821,283.8340208548092
2025-03-02 10:20:00,2025-03-02 02:20:00,14.77083,120.45537,289.6069073374444,285.47546169465545
2025-03-02 10:30:00,2025-03-02 02:30:00,14.77083,120.45537,291.1092740691822,287.48334117747385
2025-03-02 10:50:00,2025-03-02 02:50:00,14.77083,120.45537,290.8602363051519,287.03651064156713
2025-03-02 11:00:00,2025-03-02 03:00:00,14.77083,120.45537,287.6578854965877,283.0052595948157
2025-03-02 11:10:00,2025-03-02 03:10:00,14.77083,120.45537,268.4275077363144,261.9464241857017
2025-03-02 11:20:00,2025-03-02 03:20:00,14.77083,120.45537,262.16697567889037,256.850580500407
